sector,avg_yearly_returns,green stocks,total stocks,green percentage
RETAILING,113.30539932556509,2,2,100.0
DEFENCE,101.7600574712644,1,1,100.0
POWER,60.18409528819611,2,2,100.0
AUTOMOBILES,54.526537075105274,6,6,100.0
MINING,41.846522781774596,1,1,100.0
SOFTWARE,38.27595416662726,5,5,100.0
CEMENT,36.970944863875545,1,1,100.0
ENERGY,36.564787601839285,3,3,100.0
MISCELLANEOUS,36.10308138286015,2,2,100.0
ALUMINIUM,35.86831961662674,1,1,100.0
TEXTILES,35.781988044977645,1,1,100.0
PHARMACEUTICALS,31.37917300152913,3,3,100.0
STEEL,19.21712461457319,2,2,100.0
ENGINEERING,17.253721630196047,1,1,100.0
INSURANCE,11.767832027533359,2,2,100.0
FINANCE,11.576063201001446,2,3,66.66666666666666
BANKING,11.380534233917365,5,6,83.33333333333334
FOOD & TOBACCO,4.321734389748768,2,2,100.0
FMCG,-0.9579164810239414,0,1,0.0
PAINTS,-21.93504586576567,0,1,0.0
